All,Tot
"Customer Notification","Notificació del client"
"Assign a Customer Group","Assigna un grup de clients"
"Are you sure to assign selected customers to new group?","Esteu segur d’assignar els clients seleccionats a un grup nou?"
"Customer Grid","Graella de clients"
"Rebuild Customer grid index","Reconstruir l'índex de la graella de clients"
Group,Grup
"Add New Customer","Afegir nou client"
"Are you sure to delete selected customers?","Segur que voleu eliminar els clients seleccionats?"
"Subscribe to Newsletter","Subscrit al butlletí"
"Are you sure to unsubscribe selected customers from newsletter?","Esteu segur de donar de baixa els clients seleccionats del butlletí informatiu?"
"Unsubscribe from Newsletter","Donar-se de baixa del butlletí"
"Customer Since","Client Des"
"Confirmed email","Correu electrònic confirmat"
"Account Created in","Compte creat el"
"Tax VAT Number","Número d’IVA fiscal"
"Billing Firstname","Nom de facturació"
"Billing Lastname","Cognom de facturació"
"Account Lock","Bloqueig de compte"
"Last Activity","Darrera activitat"
"Customer Information","Informació del consumidor"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Si la instal·lació de Magento té diversos llocs web, podeu editar l’abast per associar el client a un lloc específic."
"Disable Automatic Group Change Based on VAT ID","Desactiva el canvi de grup automàtic en funció de l'ID d'IVA"
"Send Welcome Email From","Enviar correu electrònic de benvinguda des de"
"Are you sure you want to delete this item?","Esteu segur que voleu eliminar aquest element?"
Addresses,Adreces
"Account Dashboard","Panell de control del compte"
"Edit Account Information","Editar informació del compte"
"Password forgotten","Contrasenya oblidada"
"My Dashboard","El Meu Panell de Control"
"You are signed out","Heu tancat la sessió"
"You subscribe to our newsletter.","Us subscriviu al nostre butlletí."
"You don't subscribe to our newsletter.","No us subscriviu al nostre butlletí."
"Maximum length must be less then %1 symbols","La longitud màxima ha de ser inferior a %1 símbols"
"Invalid input","Entrada no vàlida"
"Confirm your new password.","Confirmeu la nova paraula clau."
"Something went wrong while changing the password.","Alguna cosa ha anat malament desant la paraula clau."
"Please enter the first name.","Si us plau, introduïu el nom."
"Please enter the last name.","Si us plau, introduïu el cognom."
"Please enter the street.","Si us plau, introduïu el carrer."
"Please enter the city.","Si us plau, introduïu la ciutat."
"Please enter the phone number.","Si us plau, introduïu el número de telèfon."
"Please enter the zip/postal code.","Si us plau, introduïu el codi postal."
"Please enter the country.","Si us plau, introduïu el país."
"Please enter a first name.","Si us plau, introduïu un nom."
"Please enter a last name.","Si us plau, introduïu un cognom."
"Please correct this email address: ""%1"".","Si us plau, corregiu aquesta adreça de correu electrònic: ""%1""."
"Please enter a date of birth.","Si us plau, introduïu una data de naixement."
"Please enter a TAX/VAT number.","Si us plau, introduïu un número d’IVA."
"Please enter a gender.","Si us plau, introduïu un gènere."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' sembla un nom de host DNS, però no podem fer coincidir el TLD contra la llista coneguda."
"You subscribe to ""General Subscription"".","Us subscriviu a la ""Subscripció General""."
"The password for your account has been successfully changed.","La contrasenya del vostre compte s'ha canviat correctament."
"If you did not request this change, please contact us.","Si no heu sol·licitat aquest canvi, poseu-vos en contacte amb nosaltres."
"Checkout out as a new customer","Finalitzar la compra com a un nou client"
"Create Account","Crear Compte"
"Checkout out using your account","Finalitzar la compra utilitzant el vostre compte"
"Recovery Link Expiration Period (days)","Període d'Expiració de l'Enllaç de Restabliment (dies)"
"Leave empty for default (2). Valid range: 1-4","Deixeu-lo buit per defecte (2). Interval vàlid: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valors separats per punt i coma (;).<br/> Poseu el punt i coma al principi per a la primera opció buida.<br/>Deixeu en blanc pel camp de text lliure."
"Last Logged In","Últim Inici de Sessió"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si el vostre lloc Magento té diverses vistes, podeu definir l’abast per aplicar-lo a una vista específica."
"You are signed out.","Heu tancat la sessió."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Valor no vàlid de ""%value"" proporcionat al camp %fieldName. Valors possibles: %template1 o %template2."
"Could not authenticate. Please try again later","No s'ha pogut autenticar. Si us plau, proveu-ho més tard"
"Page not found","Pàgina no trobada"
"Account will be unlocked after provided time.","El compte es desbloquejarà després del temps previst."
"Text One Line","Una Línia de Text"
"The account is locked. Please wait and try again or contact %1.","Compte bloquejat. Espereu i torneu a provar o contacteu amb %1."
"Provided Zip/Postal Code seems to be invalid.","Sembla que el Codi Postal proporcionat no és vàlid."
"Invalid Form Key. Please refresh the page.","Clau de Formulari Invàlida. Si us plau, refresqueu la pàgina."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","L’inici de sessió del compte ha estat incorrecte o el seu compte està desactivat temporalment. Espereu i torneu-ho a provar més endavant."
"The password doesn't match this account. Verify the password and try again.","La paraula clau no coincideix amb aquest compte. Verifiqueu la paraula clau i torneu-ho a provar."
"The email address is incorrect. Verify the email address and try again.","L’adreça de correu electrònic és incorrecta. Verifiqueu l'adreça de correu electrònic i torneu-ho a provar."
"The customer ID isn't defined.","No s’ha definit l’identificador de client."
"The quote items are incorrect. Verify the quote items and try again.","Els articles pressupostats són incorrectes. Verifiqueu els articles pressupostats i torneu-ho a provar."
"The ""%1"" section source isn't supported.","L'origen de la secció ""%1"" no és compatible."
"Confirmation isn't needed.","No es necessita confirmació."
"The account is already active.","El compte ja està actiu."
"The confirmation token is invalid. Verify the token and try again.","El token de confirmació no és vàlid. Verifiqueu el token i torneu-ho a provar."
"This account isn't confirmed. Verify and try again.","Aquest compte no està confirmat. Verifiqueu-ho i torneu-ho a provar."
"The password needs at least %1 characters. Create a new password and try again.","La paraula clau necessita un mínim de %1 caràcter(s). Creeu una contrasenya nova i torneu-ho a provar."
"The password can't begin or end with a space. Verify the password and try again.","La paraula clau no pot començar ni finalitzar amb un espai. Verifiqueu la contrasenya i torneu-ho a provar."
"The password can't be the same as the email address. Create a new password and try again.","La paraula clau no pot ser la mateixa que l'adreça de correu electrònic. Creeu una paraula clau nova i torneu-ho a provar."
"The store view is not in the associated website.","La vista de la botiga no es troba al lloc web associat."
"A customer with the same email address already exists in an associated website.","Ja existeix un client amb el mateix correu electrònic en un lloc web associat."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" és obligatori. Introduïu-lo i torneu-ho a provar."
"The password token is mismatched. Reset and try again.","El token de la paraula clau no es correspon. Restabliu-lo i proveu de nou."
"The password token is expired. Reset and try again.","El token de la paraula clau ha caducat. Restabliu-lo i proveu de nou."
"The transactional account email type is incorrect. Verify and try again.","El tipus de correu electrònic del compte transaccional és incorrecte. Verifiqueu-ho i torneu-ho a provar."
"A valid password reset token is missing. Enter and try again.","Falta un token de restabliment de paraula clau vàlid. Introduïu-lo i torneu-ho a provar."
"The customer email is missing. Enter and try again.","Falta el correu electrònic del client. Introduïu-lo i torneu-ho a provar."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","No s'ha especificat un identificador de lloc web de client. S'ha d'especificar l'ID per utilitzar l'abast del lloc web."
"""regionId"" is required. Enter and try again.","""regionId"" és obligatori. Introduïu-lo i torneu-ho a provar."
"Are you sure you want to delete a %1 record?","Segur que voleu eliminar el registre %1?"
"Customer not logged in","El client no ha iniciat la sessió"
"There is no address id in setting default billing address.","No hi ha cap Id d’adreça a l’hora de configurar l’adreça de facturació predeterminada."
"Default billing address has been changed.","S'ha canviat l'adreça de facturació per defecte."
